# Time-averaged data for fix ave_rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
5487 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0232601 0.0025
20 0.975 0.471064 0.05875
21 1.025 1.64811 0.27625
22 1.075 2.32509 0.61375
23 1.125 2.61056 1.02875
24 1.175 2.22735 1.415
25 1.225 2.07579 1.80625
26 1.275 1.78763 2.17125
27 1.325 1.68929 2.54375
28 1.375 1.43708 2.885
29 1.425 1.25959 3.20625
30 1.475 1.29459 3.56
31 1.525 1.24106 3.9225
32 1.575 1.09932 4.265
33 1.625 1.07418 4.62125
34 1.675 1.14936 5.02625
35 1.725 1.02684 5.41
36 1.775 1.02351 5.815
37 1.825 1.11462 6.28125
38 1.875 1.03899 6.74
39 1.925 1.08509 7.245
40 1.975 1.05892 7.76375
41 2.025 1.08494 8.3225
42 2.075 1.1142 8.925
43 2.125 1.11528 9.5575
44 2.175 1.11719 10.2213
45 2.225 1.12786 10.9225
46 2.275 1.18652 11.6938
47 2.325 1.20785 12.5138
48 2.375 1.12047 13.3075
49 2.425 1.01889 14.06
50 2.475 1.08051 14.8913
51 2.525 1.07249 15.75
52 2.575 1.09128 16.6588
53 2.625 1.05011 17.5675
54 2.675 1.08216 18.54
55 2.725 1.02003 19.4913
56 2.775 1.06244 20.5188
57 2.825 1.02517 21.5463
58 2.875 1.10663 22.695
59 2.925 1.03305 23.805
60 2.975 1.00537 24.9225
61 3.025 1.01592 26.09
62 3.075 1.07999 27.3725
63 3.125 1.03857 28.6463
64 3.175 1.00217 29.915
65 3.225 1.06512 31.3063
66 3.275 1.04213 32.71
67 3.325 1.03623 34.1488
68 3.375 1.01537 35.6013
69 3.425 1.04109 37.135
70 3.475 0.985793 38.63
71 3.525 1.01169 40.2088
72 3.575 1.01786 41.8425
73 3.625 1.00815 43.5063
74 3.675 1.02292 45.2413
75 3.725 1.01501 47.01
76 3.775 1.00925 48.8162
77 3.825 1.03066 50.71
78 3.875 1.01219 52.6187
79 3.925 1.01822 54.5887
80 3.975 0.999068 56.5712
81 4.025 0.966414 58.5375
82 4.075 0.993792 60.61
83 4.125 1.02249 62.795
84 4.175 1.02442 65.0375
85 4.225 1.02596 67.3375
86 4.275 1.02062 69.68
87 4.325 1.00886 72.05
88 4.375 0.981777 74.41
89 4.425 0.97649 76.8113
90 4.475 0.947336 79.1937
91 4.525 0.974641 81.7
92 4.575 1.01908 84.3787
93 4.625 1.00461 87.0775
94 4.675 0.9846 89.78
95 4.725 1.02183 92.645
96 4.775 1.00403 95.52
97 4.825 0.978631 98.3812
98 4.875 0.987976 101.33
99 4.925 0.988946 104.342
100 4.975 1.00295 107.46
101 5.025 0.977569 110.56
102 5.075 1.0098 113.826
103 5.125 0.998909 117.121
104 5.175 0.999398 120.482
105 5.225 0.990935 123.88
106 5.275 1.02804 127.472
107 5.325 1.00742 131.06
108 5.375 0.98911 134.649
109 5.425 1.00444 138.361
110 5.475 0.994151 142.104
111 5.525 0.990911 145.903
112 5.575 0.996915 149.794
113 5.625 0.979586 153.686
114 5.675 0.987743 157.681
115 5.725 0.983927 161.731
116 5.775 1.01083 165.965
117 5.825 0.992089 170.193
118 5.875 0.987963 174.475
119 5.925 1.01134 178.934
120 5.975 0.993644 183.389
121 6.025 0.988463 187.895
122 6.075 1.00975 192.575
