Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
404,1.9946666,0.44692258,2.9770399,3.4239624,0.033093995,0.025,4.7116745,4.9078316,4.8543962
406,1.9944422,0.46368419,2.9767051,3.4403892,0.03228936,0.025,4.7554517,4.9538356,4.8987179
431,1.9941503,0.69377762,2.9762694,3.670047,0.021891218,0.025,5.3419558,5.5649685,5.4917513
436,1.9948115,0.73365287,2.9772561,3.710909,0.020156391,0.025,5.4674807,5.6949289,5.6190344
458,2.0005432,0.80716536,2.9858107,3.792976,0.016332023,0.025,6.0445835,6.2924025,6.208215
460,2.0011836,0.80043491,2.9872427,3.7876776,0.016392277,0.025,6.1255786,6.3764979,6.2914425
485,2.0072009,0.61635968,2.9957474,3.6121071,0.021477548,0.025,6.7824973,7.0617418,6.9692973
512,2.0049206,0.34535899,2.992344,3.337703,0.03136904,0.025,7.5330269,7.8448388,7.7429992
515,2.0042213,0.32644979,2.9913002,3.31775,0.032320776,0.025,7.6177503,7.9327111,7.8300547
539,1.9996509,0.2769862,2.9844789,3.2614651,0.037159174,0.025,8.3144202,8.6508931,8.5448175
566,1.9962783,0.3664284,2.9794454,3.3458738,0.035878983,0.025,9.1531516,9.508508,9.4003751
569,1.995939,0.38461542,2.978939,3.3635544,0.03531406,0.025,9.2507408,9.6077542,9.4991649
593,1.9953615,0.55701628,2.978077,3.5350932,0.029076651,0.025,10.066156,10.431839,10.317625
620,1.9988922,0.66848974,2.9833466,3.6518364,0.022833094,0.025,11.044876,11.41372,11.291728
647,2.0020571,0.64033665,2.9880703,3.6284069,0.021706481,0.025,12.050942,12.430717,12.302927
674,2.0034302,0.51493582,2.9901195,3.5050553,0.025846027,0.025,13.058776,13.465518,13.335692
677,2.0033547,0.49990174,2.9900069,3.4899086,0.026478321,0.025,13.170919,13.581204,13.451475
701,2.0023149,0.40078496,2.988455,3.38924,0.031404085,0.025,14.076009,14.513787,14.388252
728,2.0001134,0.34326047,2.9851693,3.3284298,0.034386505,0.025,15.12212,15.589021,15.475097
730,1.9998464,0.34454553,2.9845719,3.3291174,0.034411985,0.025,15.240806,15.711279,15.598701
755,1.9961997,0.42725445,2.979328,3.4065825,0.032241801,0.025,16.21612,16.720527,16.614282
782,1.9969536,0.58222692,2.9804532,3.5626801,0.027211192,0.025,17.384187,17.93779,17.822815
785,1.9972989,0.59433316,2.9809686,3.5753018,0.026705532,0.025,17.518522,18.078263,17.961315
809,2.0006028,0.62447393,2.9858997,3.6103736,0.024234046,0.025,18.614637,19.228741,19.093117
836,2.0022623,0.55211654,2.9883765,3.540493,0.025172956,0.025,19.868402,20.552593,20.399279
839,2.0022533,0.54201573,2.988363,3.5303787,0.025460007,0.025,20.008275,20.700358,20.545623
863,2.00164,0.47273552,2.9874477,3.4601832,0.028306404,0.025,21.135092,21.88539,21.722469
890,2.0009181,0.41672867,2.9863702,3.4030989,0.031274957,0.025,22.431522,23.231717,23.061566
917,1.9993745,0.4138986,2.9840664,3.397965,0.031922185,0.025,23.769266,24.614319,24.428892
944,1.9975339,0.48961771,2.9813194,3.4709371,0.029694767,0.025,25.162744,26.057435,25.848245
947,1.9975714,0.50051184,2.9813753,3.4818871,0.0293494,0.025,25.321992,26.222201,26.01014
971,1.9989755,0.56314934,2.983471,3.5466203,0.02687223,0.025,26.628896,27.56987,27.334626
972,1.9990591,0.56442891,2.9835958,3.5480247,0.026795242,0.025,26.684523,27.627046,27.390843
998,2.0008192,0.55752901,2.9862226,3.5437516,0.0259431,0.025,28.154522,29.136032,28.875657
1000,2.0008723,0.55488304,2.9863019,3.5411849,0.025965441,0.025,28.269018,29.25369,28.991535
1025,2.0010444,0.51736428,2.9865587,3.503923,0.027043313,0.025,29.711127,30.742021,30.459077
1030,2.0010573,0.50949628,2.9865781,3.4960744,0.027394796,0.025,30.001855,31.0435,30.756839
1052,2.0013718,0.46788992,2.9870474,3.4549373,0.029190094,0.025,31.291651,32.382407,32.082982
1054,2.0013063,0.46403302,2.9869497,3.4509827,0.029347899,0.025,31.409823,32.504926,32.204731
1079,2.0005779,0.43435107,2.9858625,3.4202135,0.030715894,0.025,32.903413,34.047557,33.743416
1080,2.0005341,0.4317146,2.9854116,3.4171262,0.030816948,0.025,33.206102,34.35878,34.055064
1106,1.998112,0.46470868,2.9821822,3.4468909,0.030217571,0.025,34.556378,35.74336,35.445819
1108,1.9980173,0.47070581,2.9820409,3.4527467,0.030094774,0.025,34.680881,35.870853,35.574132
1133,1.9993605,0.52816205,2.9840456,3.5122076,0.028483239,0.025,36.263435,37.491643,37.204561
1138,1.999792,0.53029161,2.9846896,3.5149812,0.028235786,0.025,36.585022,37.821328,37.535161
1160,2.0003605,0.52174984,2.985538,3.5072878,0.027477835,0.025,38.014633,39.28938,38.998043
1187,2.0000799,0.51256564,2.9851192,3.4976849,0.027228273,0.025,39.798719,41.12887,40.808384
1190,2.0000539,0.50444643,2.9859797,3.4904261,0.027845793,0.025,41.614381,43.011717,42.650012
1214,2.0006564,0.50444643,2.9859797,3.4904261,0.027845793,0.025,41.614381,43.011717,42.650012
1216,2.000753,0.50212157,2.9861239,3.4882454,0.02793396,0.025,41.750038,43.152758,42.788148
1241,2.0007356,0.47230887,2.9860979,3.4584067,0.029084057,0.025,43.458624,44.930248,44.536253
1246,2.0007273,0.46679757,2.9860855,3.4528831,0.029289555,0.025,43.803729,45.289006,44.890948
