Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
403,1.8684421,0.51574308,2.7886499,3.304393,0.025374692,0.025,18.738307,19.36704,19.22723
406,1.86643,0.49760633,2.7856468,3.2832532,0.02562899,0.025,19.003085,19.645719,19.500882
430,1.9656569,0.43132492,2.9337429,3.3650678,0.029728214,0.025,21.192114,21.927342,21.767161
457,2.1818874,0.45761965,3.2564669,3.7140866,0.033033856,0.025,23.915614,24.744762,24.568915
484,2.0111269,0.63707839,3.001607,3.6386854,0.02385597,0.025,26.929714,27.888302,27.658067
511,1.9346149,0.39377736,2.8874127,3.2811901,0.029509513,0.025,29.941104,30.997633,30.717694
538,1.9739892,0.42933093,2.9461789,3.3755099,0.031675711,0.025,33.060713,34.203365,33.872867
565,2.1509972,0.60060018,3.2103633,3.8109634,0.027697143,0.025,36.502912,37.732265,37.401871
592,1.9795737,0.58555158,2.9545137,3.5400653,0.023510003,0.025,40.15368,41.503493,41.184893
619,1.9099026,0.37191157,2.8505297,3.2224413,0.031510576,0.025,43.645436,45.135104,44.770243
646,2.0299038,0.46696272,3.0296314,3.4965941,0.031525619,0.025,47.367109,48.964343,48.55523
673,2.0358198,0.65696136,3.038461,3.6954224,0.022104485,0.025,51.431247,53.176835,52.729825
700,2.063866,0.51882936,3.08032,3.5991494,0.028477873,0.025,55.615231,57.594346,57.126137
727,1.8714959,0.39416174,2.7932076,3.1873693,0.030363546,0.025,59.758356,61.898128,61.378905
728,1.8684173,0.39540344,2.7886128,3.1840162,0.03028003,0.025,59.911824,62.055631,61.534
754,1.9740937,0.5265767,2.9463349,3.4729116,0.027674579,0.025,64.046225,66.280581,65.692252
755,1.9884186,0.52673676,2.9677147,3.4944515,0.027794481,0.025,64.214174,66.452156,65.86105
781,2.0612451,0.63042881,3.0764084,3.7068372,0.023834494,0.025,68.765281,71.128642,70.46661
782,2.0583966,0.63231295,3.072157,3.7044699,0.023710016,0.025,68.943314,71.313242,70.648828
808,2.0235672,0.50277711,3.020174,3.5229511,0.028261456,0.025,73.557232,76.137338,75.415934
