Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
404,2.1183497,0.38723119,3.161637,3.5488682,0.038136565,0.025,4.7621968,4.9603867,4.9076097
406,2.1368776,0.39878493,3.1892898,3.5880748,0.038020709,0.025,4.80738,5.0079139,4.9532888
424,2.0912465,0.53743632,3.1211854,3.6586217,0.030523418,0.025,5.2370128,5.4566786,5.3867216
431,2.0180435,0.59859272,3.0119299,3.6105226,0.026078384,0.025,5.4110476,5.6371578,5.5623929
436,1.967538,0.63956026,2.9365504,3.5761107,0.023078232,0.025,5.5367173,5.7671946,5.6894855
458,1.9149091,0.73324185,2.8580019,3.5912437,0.017079806,0.025,6.1040387,6.3538979,6.2673474
460,1.9300427,0.72917974,2.9096199,3.6387996,0.017772551,0.025,6.2110139,6.4648378,6.3771457
485,2.4182389,0.59778494,3.6092215,4.2070064,0.032232874,0.025,6.8760043,7.1577237,7.0634822
486,2.4275727,0.58986188,3.6231523,4.2130142,0.032684578,0.025,6.9070293,7.190137,7.0955744
512,2.2025479,0.42578866,3.2873028,3.7130915,0.032885284,0.025,7.717431,8.0353885,7.9326074
516,2.164811,0.41087433,3.2309805,3.6418548,0.032731426,0.025,7.8414066,8.1641138,8.0603433
539,1.9269597,0.35934208,2.8759874,3.2353295,0.030397464,0.025,8.5487587,8.8952637,8.7881539
540,1.9201082,0.35781225,2.8657615,3.2235737,0.030347065,0.025,8.5793332,9.757984,9.6471567
566,1.9117214,0.35502127,2.8532442,3.2082655,0.031882068,0.025,9.3884409,9.757984,9.6471567
570,1.9391146,0.36433849,2.8941286,3.2584671,0.032541129,0.025,9.5183877,9.8908605,9.779042
593,2.09583,0.46151393,3.1280263,3.5895403,0.034685242,0.025,10.31461,10.699546,10.57962
594,2.0980059,0.46618551,3.1312738,3.5974593,0.034613259,0.025,10.350996,10.736271,10.615934
620,2.0070757,0.53499266,2.9955605,3.5305532,0.028861683,0.025,11.321121,11.710722,11.580218
647,1.735138,0.51457572,2.5896934,3.1042691,0.020163442,0.025,12.305372,12.700933,12.564381
650,1.736864,0.50724654,2.5922696,3.0995161,0.020216423,0.025,12.411748,12.808652,12.671842
674,2.1041926,0.44382295,3.1405075,3.5843304,0.030630085,0.025,13.301007,13.714542,13.579055
701,2.0493299,0.44704227,3.0586249,3.5056671,0.030442383,0.025,14.3866,14.825398,14.699656
704,2.0245054,0.4467765,3.0215743,3.4683508,0.029924994,0.025,14.507461,14.949121,14.824985
728,1.9117432,0.40573731,2.8532768,3.2590141,0.02812824,0.025,15.467255,15.934382,15.824462
752,2.015521,0.40410128,3.0081651,3.4122664,0.031008829,0.025,16.447495,16.951092,16.849408
755,2.0536004,0.41154502,3.0649986,3.4765436,0.031875211,0.025,16.575494,17.084714,16.983106
758,2.0962125,0.42097608,3.1285971,3.5495732,0.032820198,0.025,16.705523,17.22062,17.118824
782,2.1747555,0.54112371,3.2458226,3.7869463,0.032786523,0.025,17.808482,18.377845,18.264884
785,2.1399019,0.55470758,3.1938036,3.7485112,0.031631157,0.025,17.949671,18.526344,18.411012
809,1.8886791,0.56722863,2.8188535,3.3860822,0.024449394,0.025,19.055787,19.691582,19.555627
810,1.8884918,0.56410791,2.818574,3.3826819,0.024472405,0.025,19.101236,19.739528,19.602751
836,2.0093622,0.45387937,2.9989731,3.4528525,0.02923912,0.025,20.302196,21.007354,20.85247
840,2.0256878,0.43877521,3.0283814,3.4671566,0.030084837,0.025,20.5389,21.257015,21.099386
863,2.0180358,0.42882295,3.0119184,3.4407414,0.030598924,0.025,21.599178,22.370705,22.202694
