Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
5000,5.4810552,5.4626496,5.5983106,5.4224039,5.3806271,5.8203779,5.5275837,5.3681517,5.6130205,5.4619382,1.054523,0.78234948,1.5738756,2.3562251
10000,5.2975008,5.1386314,5.2207568,5.2476763,5.2276766,5.6404833,5.1038163,4.9609548,5.3123801,5.4638007,0.96300764,0.67381196,1.4372889,2.1111009
20000,4.6948587,4.7676644,4.8148934,4.7823084,5.2480883,4.9058419,4.5537139,4.5442902,4.8728013,5.0821619,1.0006935,0.54018252,1.4935351,2.0337176
25000,4.6429656,4.5871849,4.4328633,4.8640897,5.145939,4.6991213,4.4963552,4.3065729,4.8863105,4.773099,0.96686301,0.57059147,1.443043,2.0136345
30000,4.42973,4.396178,4.5371927,4.8494059,4.9762944,4.4851615,4.5230857,4.1194455,4.9032343,4.6804164,0.98850245,0.49813648,1.4753399,1.9734764
35000,4.2169047,4.223453,4.5130027,4.6453074,4.9837405,4.5259969,4.4014721,4.0133349,4.820123,4.3721428,1.0086822,0.54978082,1.5054582,2.055239
45000,4.2249573,4.2024309,4.1930503,4.6770788,4.6141412,4.545284,4.1615402,3.7343542,4.4221359,4.2296459,0.86653817,0.50736476,1.2933082,1.800673
50000,4.0583716,3.7901171,4.2526436,4.6167588,4.3397844,4.4672137,3.9983571,3.673863,4.2880011,4.1678457,1.0178999,0.54265315,1.5192156,2.0618688
55000,3.8122599,3.7126849,4.201334,4.4503872,4.5534903,4.1528016,3.8493744,3.6747132,4.2880268,4.200985,1.0826538,0.39483744,1.6158609,2.0106983
60000,4.028578,3.632943,3.9655942,4.193485,4.3931596,4.1532063,3.7276183,3.6054342,4.4593894,3.8218381,1.0292837,0.50781305,1.5362059,2.0440189
70000,3.8933824,3.460196,3.855652,3.733457,4.0629573,3.8764741,3.6095663,3.861734,4.3585736,3.7983385,1.0115663,0.47111639,1.5097627,1.980879
75000,3.5978326,3.4155286,4.1348933,3.8631705,3.6179922,3.534592,3.4910707,3.6534356,4.3019833,3.6426717,1.0446225,0.48481597,1.559099,2.043915
85000,3.2950276,3.4303731,4.2634813,3.345582,3.3091792,3.6626182,3.2823457,3.5674804,4.4148103,3.8363805,0.98645555,0.51703853,1.4722849,1.9893234
95000,3.3384933,3.4596809,4.2582528,2.9378218,2.822104,3.5409214,3.2091095,2.8476672,4.0584818,3.4709898,0.97884279,0.4872972,1.4609229,1.9482201
100000,3.1280937,3.4264315,4.2337358,2.9149602,2.8139585,3.6675007,3.0510958,2.9161215,4.0746589,3.4496869,1.0291457,0.46927624,1.536,2.0052762
115000,2.7478073,3.3750275,3.9565525,2.5372456,2.6577744,3.3055432,2.8208438,2.7522548,3.9104693,3.5125465,0.98094638,0.53060446,1.4640625,1.9946669
125000,2.6268673,3.4306888,4.003087,2.6769188,2.7951831,3.4802692,3.0057663,2.9898363,3.87637,3.3956577,0.88146719,0.51396913,1.3155898,1.8295589
130000,2.4994071,3.4028247,3.9611259,2.6552668,2.858995,3.3222857,3.0043385,3.3098746,4.0149171,3.4982678,0.90106432,0.4398112,1.3448385,1.7846497
140000,2.6933006,3.1595744,4.1077273,2.1110356,2.6086242,3.1754883,2.8270853,3.6653328,4.0610029,3.0980566,0.97124244,0.43677201,1.4495793,1.8863513
150000,2.5403682,3.0023603,4.2026038,1.7459334,2.378674,3.0694714,3.0054223,3.4040589,3.6480704,2.7993416,0.9364667,0.49638617,1.3976765,1.8940627
155000,2.4895179,3.0629479,4.1096686,1.9000787,2.3210831,3.0006044,3.0169409,3.5837935,3.4241214,2.7885099,1.0660819,0.55649686,1.5911273,2.1476242
160000,2.4726555,3.0729571,3.7627521,1.9936008,2.4633018,3.004102,3.1246242,3.7359613,2.9917886,2.9639451,0.90459503,0.52450094,1.3501081,1.874609
