Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
5000,2.0222395,1.4629053,1.7630466,1.6920767,1.9447568,2.7183068,1.8291429,1.2619794,2.5578245,1.5497195,1.035813,0.55182872,1.5459509,2.0977796
10000,2.0738376,1.5842629,1.5099178,1.3314608,1.9240934,2.825058,1.7279857,1.1929572,2.710148,1.3979117,0.94176641,0.50923239,1.4055864,1.9148188
20000,1.9845271,1.6993437,1.4373205,1.3471296,2.5009665,2.5637705,1.729276,1.2171973,2.599516,1.3118165,0.97934401,0.5194452,1.4616709,1.9811161
25000,1.9488394,1.7199126,1.5183862,1.2808485,2.4146461,2.3915812,1.6576542,1.3046776,2.3906211,1.4803443,0.96410562,0.52562117,1.4389276,1.9645488
30000,1.9903657,1.7228451,1.3389482,1.0884331,2.422376,2.1901301,1.6352344,1.513886,2.3196052,1.9172541,0.96675551,0.49637956,1.4428826,1.9392622
35000,2.2661943,1.3945672,1.4006176,1.105275,2.6400041,2.3700815,1.5925934,1.6851731,2.2680188,1.9048464,0.96017655,0.54620638,1.4330635,1.9792699
40000,2.281693,1.4858914,1.1954862,1.2209562,2.7881828,2.5717239,1.5919564,1.7714971,2.2129075,1.9699159,0.96801511,0.45549591,1.4447625,1.9002585
45000,2.3629725,1.6850414,1.3514889,1.374609,2.9644321,2.5596691,1.6824198,1.5696928,2.2400784,1.8996061,0.87498891,0.4756568,1.3059209,1.7815777
50000,2.3378028,1.7237872,1.166569,1.2169759,2.7040453,2.4810635,1.8102953,1.5885114,1.9923074,1.9381652,1.0618011,0.47417849,1.5847382,2.0589167
60000,2.3264969,1.7648807,1.0195386,0.89708808,2.9146947,2.4258073,1.825425,1.4759217,2.1263793,1.6871973,1.0639881,0.48934582,1.5880022,2.0773481
65000,2.4234388,1.7986909,1.0340615,1.1137866,2.8618174,2.3933541,1.8546528,1.5234172,2.3108191,1.2977293,1.0724315,0.58312425,1.600604,2.1837282
70000,2.4263742,1.519171,1.0204056,1.2451482,2.7973938,2.2623716,1.8403777,1.4398493,2.2270992,1.378839,1.0668818,0.4068913,1.592321,1.9992123
75000,2.7185475,1.6340061,1.1507239,1.2335271,2.4395698,2.0809187,1.6917462,1.4026781,2.3195238,1.4680446,1.0583102,0.44402106,1.579528,2.0235491
85000,2.7467409,1.5658434,0.99553267,1.5656183,2.0516508,2.284893,1.4644181,1.4620929,2.403035,1.4207245,0.98522007,0.49562707,1.470441,1.966068
90000,2.4661049,1.3662874,1.3110912,1.4446898,1.9439657,2.3006114,1.5168371,1.6157906,2.1441001,1.5398753,0.97962535,0.52059573,1.4620908,1.9826866
100000,2.2929723,1.364803,1.2818002,1.3452193,1.6930651,2.5043021,1.6102798,1.7051877,2.0366458,1.7620974,1.0387799,0.45409299,1.550379,2.004472
110000,2.0889829,1.3008569,1.3633744,1.4977618,1.5951456,2.2384793,1.5634836,1.54057,2.1765876,1.7816656,1.0511719,0.55898764,1.568874,2.1278617
115000,1.9913225,1.3269075,1.240279,1.619882,1.6243798,2.2511549,1.8510255,1.5684977,2.2152777,1.7938747,0.99963379,0.56813523,1.4919534,2.0600887
125000,2.0063872,1.4458782,1.5904318,1.5587186,1.4730492,2.4979146,1.4618461,1.4680261,2.0605856,1.8544357,0.89944732,0.49461467,1.3424251,1.8370398
130000,1.9397593,1.4841668,1.5252781,1.8084092,1.5065405,2.4407105,1.6368496,1.4143156,2.2311259,1.8421409,0.89803492,0.3927347,1.3403171,1.7330518
135000,1.7884929,1.272788,1.5348594,1.9749673,1.3143165,2.4844396,1.7337428,1.6442911,2.3491885,1.8428737,0.97459178,0.53777897,1.4545782,1.9923572
140000,1.7129895,1.3029867,1.5634244,1.971983,1.3952816,2.3392494,1.3469276,1.4941523,2.3791394,1.9704241,0.95316399,0.45866105,1.4225972,1.8812583
